id,host_id,price,neighbourhood,room_type,number_of_reviews,property_type,accommodates,bedrooms,bathrooms,price_raw,price_outlier_iqr
38166734,257774571,151.0,South Cambie,Entire home/apt,17,Entire guest suite,6,2.0,1.0,$151.00,False
38234381,278363112,80.0,Kitsilano,Private room,22,Private room in condo,1,1.0,1.0,$80.00,False
38242671,90279657,98.0,Renfrew-Collingwood,Entire home/apt,125,Entire guest suite,4,1.0,1.0,$98.00,False
38243837,180376660,393.0,Downtown Eastside,Entire home/apt,55,Entire rental unit,6,2.0,2.0,$393.00,False
38376044,259607286,140.0,Kensington-Cedar Cottage,Entire home/apt,86,Entire rental unit,3,2.0,1.0,$140.00,False
38488766,15541566,111.0,Arbutus Ridge,Entire home/apt,155,Entire guest suite,5,0.0,1.0,$111.00,False
38599344,2051561,169.0,Downtown,Entire home/apt,25,Entire loft,2,2.0,2.0,$169.00,False
38603948,7700053,164.0,Riley Park,Entire home/apt,85,Entire guest suite,2,1.0,1.0,$164.00,False
38679230,295569294,405.0,Downtown,Entire home/apt,112,Entire rental unit,5,2.0,2.5,$405.00,False
38762538,109845,179.0,Downtown,Entire home/apt,15,Entire condo,3,1.0,1.0,$179.00,False
38785483,71741275,91.0,Marpole,Private room,175,Private room in tiny home,2,1.0,1.5,$91.00,False
38817452,35497123,300.0,Downtown,Entire home/apt,8,Entire rental unit,4,2.0,2.0,$300.00,False
38821207,297106721,229.0,Downtown Eastside,Entire home/apt,400,Entire condo,4,2.0,1.0,$229.00,False
38871382,126456251,35.0,Riley Park,Private room,39,Private room in home,1,1.0,1.0,$35.00,False
38880792,1688316,174.0,Grandview-Woodland,Entire home/apt,153,Entire guest suite,2,0.0,1.0,$174.00,False
38952827,15630601,176.0,Downtown,Entire home/apt,9,Entire condo,4,1.0,1.0,$176.00,False
38977330,296363094,99.0,Renfrew-Collingwood,Entire home/apt,325,Entire guest suite,2,0.0,1.0,$99.00,False
39058032,78141890,158.0,Kensington-Cedar Cottage,Entire home/apt,129,Entire guesthouse,4,1.0,1.0,$158.00,False
